Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
2,1,4,0,22.72,0.0,46.9,14.66,0.0,0.0
2,2,4,0,22.67,0.0,47.26,13.89,0.0,0.0
2,3,4,0,22.56,0.0,48.0,14.46,0.0,0.0
2,4,4,0,22.49,0.0,48.89,14.38,0.0,0.0
2,5,4,0,22.47,0.0,49.46,12.95,0.0,0.0
2,6,4,0,22.42,0.0,50.14,12.94,0.0,0.0
2,7,4,0,21.43,0.0,52.4,14.21,0.63,70.99
2,8,4,0,21.43,0.0,51.38,27.65,1.79,73.84
2,9,4,0,22.05,0.0,50.02,53.41,3.38,78.16
2,10,4,0,22.37,0.0,50.46,48.56,3.98,80.3
2,11,4,0,22.5,0.0,51.32,46.14,4.05,85.06
2,12,4,0,22.59,0.0,52.04,49.39,4.16,88.91
2,13,4,0,22.66,0.0,52.14,54.91,4.48,96.13
2,14,4,0,23.04,0.0,51.96,58.82,5.3,104.81
2,15,4,0,23.28,0.0,52.86,48.67,3.1,112.26
2,16,4,0,23.43,0.0,52.97,53.43,3.02,109.48
2,17,4,0,23.53,0.0,52.36,49.68,3.95,116.34
2,18,4,0,23.07,0.0,53.41,41.75,2.66,107.9
2,19,4,0,22.38,0.0,52.02,18.42,1.93,88.96
2,20,4,0,22.01,0.0,48.2,14.51,1.36,78.04
2,21,4,0,21.81,0.0,46.15,14.27,1.63,78.08
2,22,4,0,21.65,0.0,47.03,15.3,0.69,81.13
2,23,4,0,22.48,0.0,46.16,16.88,0.5,0.0
2,24,4,0,22.83,0.0,46.69,17.91,0.52,0.0
2,1,5,0,22.79,0.0,48.06,13.36,0.0,0.0
2,2,5,0,22.73,0.0,48.74,12.69,0.0,0.0
2,3,5,0,22.68,0.0,49.14,13.57,0.0,0.0
2,4,5,0,22.6,0.0,49.52,12.11,0.0,0.0
2,5,5,0,22.51,0.0,49.92,10.9,0.0,0.0
2,6,5,0,22.44,0.0,50.21,12.08,0.0,0.0
2,7,5,0,21.47,0.0,53.35,13.8,0.77,36.79
2,8,5,0,21.51,0.0,52.9,22.22,2.23,39.41
2,9,5,0,22.23,0.0,50.1,46.97,3.87,51.26
2,10,5,0,22.67,0.0,48.38,42.9,4.24,58.36
2,11,5,0,22.88,0.0,46.2,46.61,3.97,62.8
2,12,5,0,23.16,0.0,44.52,52.68,4.37,73.33
2,13,5,0,23.2,0.0,43.83,58.4,4.81,82.16
2,14,5,0,23.44,0.0,43.0,56.54,4.75,88.47
2,15,5,0,23.59,0.0,42.42,47.1,3.34,86.4
2,16,5,0,23.64,0.0,42.05,41.38,2.89,83.88
2,17,5,0,23.6,0.0,41.7,49.86,3.78,81.12
2,18,5,0,23.09,0.0,41.91,42.39,2.03,75.96
2,19,5,0,22.46,0.0,41.9,22.34,1.88,73.02
2,20,5,0,22.13,0.0,41.8,20.63,1.34,69.9
2,21,5,0,21.92,0.0,41.79,20.77,1.52,65.74
2,22,5,0,21.76,0.0,42.54,19.16,0.82,51.83
2,23,5,0,22.53,0.0,41.26,18.01,0.46,0.0
2,24,5,0,22.84,0.0,40.95,16.27,0.47,0.0
2,1,6,0,22.77,0.0,41.41,12.25,0.0,0.0
2,2,6,0,22.66,0.0,41.77,12.36,0.0,0.0
2,3,6,0,22.57,0.0,42.06,13.89,0.0,0.0
2,4,6,0,22.48,0.0,42.31,12.56,0.0,0.0
2,5,6,0,22.38,0.0,42.57,11.75,0.0,0.0
2,6,6,0,22.26,0.0,42.85,13.21,0.0,0.0
2,7,6,0,21.33,0.0,44.07,15.39,0.7,0.0
2,8,6,0,21.39,0.0,42.38,28.19,2.09,0.0
2,9,6,0,22.19,0.0,40.38,60.68,4.04,0.79
2,10,6,0,22.78,0.0,39.29,52.37,4.28,13.6
2,11,6,0,23.06,0.0,37.38,54.17,4.68,29.14
2,12,6,0,23.23,0.0,35.48,51.63,5.54,45.67
2,13,6,0,23.21,0.0,34.64,47.01,6.33,55.68
2,14,6,0,23.48,0.0,34.06,47.56,5.75,64.03
2,15,6,0,23.67,0.0,33.75,40.08,3.27,64.51
2,16,6,0,23.74,0.0,33.05,39.18,3.05,62.85
2,17,6,0,23.74,0.0,32.82,45.16,3.64,56.57
2,18,6,0,23.22,0.0,32.95,33.43,2.17,44.53
2,19,6,0,22.52,0.0,32.52,18.99,1.95,34.45
2,20,6,0,22.1,0.0,31.49,14.91,1.31,25.95
2,21,6,0,21.88,0.0,30.94,16.78,1.36,17.41
2,22,6,0,21.7,0.0,31.09,17.08,0.78,8.43
2,23,6,0,22.38,0.0,30.04,15.04,0.48,0.0
2,24,6,0,22.6,0.0,29.9,14.06,0.49,0.0
2,1,7,0,22.4,0.0,30.4,7.84,0.0,0.0
2,2,7,0,22.21,0.0,30.64,8.87,0.0,0.0
2,3,7,0,22.04,0.0,30.79,8.34,0.0,0.0
2,4,7,0,21.88,0.0,30.94,9.39,0.0,0.0
2,5,7,0,21.7,0.0,31.12,8.4,0.0,0.0
2,6,7,0,21.55,0.0,31.18,9.38,0.0,0.0
2,7,7,0,20.87,0.0,31.37,13.62,0.56,0.0
2,8,7,0,21.14,0.0,29.79,21.28,1.0,0.0
2,9,7,0,21.22,0.0,29.38,27.14,1.51,0.0
2,10,7,0,21.32,0.0,30.03,31.0,1.84,0.0
2,11,7,0,21.33,0.0,30.72,29.61,1.54,0.0
2,12,7,0,21.39,0.0,30.29,31.33,1.97,0.0
2,13,7,0,21.44,0.0,29.86,22.41,1.89,0.0
2,14,7,0,21.36,0.0,30.09,17.39,1.81,0.0
2,15,7,0,21.31,0.0,30.58,17.3,1.27,0.0
2,16,7,0,21.41,0.0,29.91,14.32,1.06,0.0
2,17,7,0,21.38,0.0,29.32,13.77,1.14,0.0
2,18,7,0,20.8,0.0,30.56,12.83,0.71,0.0
2,19,7,0,21.2,0.0,30.12,12.55,0.65,0.0
2,20,7,0,21.29,0.0,30.18,9.18,0.0,0.0
2,21,7,0,21.19,0.0,30.43,8.15,0.0,0.0
2,22,7,0,21.03,0.0,30.8,9.78,0.0,0.0
2,23,7,0,20.9,0.0,31.2,9.81,0.0,0.0
2,24,7,0,20.79,0.0,31.54,9.48,0.0,0.0
2,1,1,0,20.72,0.0,31.78,8.52,0.0,0.0
2,2,1,0,20.63,0.0,32.04,9.24,0.0,0.0
2,3,1,0,20.51,0.0,32.39,9.25,0.0,0.0
2,4,1,0,20.36,0.0,32.87,9.6,0.0,0.0
2,5,1,0,20.24,0.0,33.34,9.84,0.0,0.0
2,6,1,0,20.16,0.0,33.85,10.0,0.0,0.0
2,7,1,0,20.13,0.0,34.45,10.87,0.41,0.0
2,8,1,0,20.31,0.0,34.54,11.58,0.41,0.0
2,9,1,0,20.73,0.0,34.08,10.49,0.42,0.0
2,10,1,0,21.27,0.0,33.4,10.73,0.39,0.0
2,11,1,0,21.76,0.0,32.72,11.54,0.37,0.0
2,12,1,0,22.16,0.0,32.22,11.99,0.59,0.0
2,13,1,0,22.49,0.01,31.94,13.1,0.55,0.0
2,14,1,0,22.64,0.02,31.99,11.62,0.89,13.43
2,15,1,0,22.64,0.03,32.21,12.38,0.53,9.55
2,16,1,0,23.06,0.0,31.58,13.13,0.36,0.0
2,17,1,0,23.07,0.0,31.79,12.37,0.42,0.0
2,18,1,0,22.73,0.0,32.6,12.63,0.43,0.0
2,19,1,0,22.31,0.0,33.54,10.08,0.0,0.0
2,20,1,0,22.05,0.0,34.24,10.25,0.0,0.0
2,21,1,0,21.87,0.0,34.72,10.67,0.0,0.0
2,22,1,0,21.72,0.0,35.12,10.47,0.0,0.0
2,23,1,0,21.59,0.0,35.44,9.44,0.0,0.0
2,24,1,0,21.49,0.0,35.71,10.2,0.0,0.0
2,1,2,0,21.44,0.0,35.97,14.23,0.0,0.0
2,2,2,0,21.34,0.0,36.32,12.93,0.0,0.0
2,3,2,0,21.22,0.0,36.72,12.12,0.0,0.0
2,4,2,0,21.1,0.0,36.91,11.72,0.0,0.0
2,5,2,0,21.0,0.0,36.96,11.76,0.0,0.0
2,6,2,0,20.93,0.0,36.95,11.95,0.0,0.0
2,7,2,0,20.45,0.0,38.03,13.9,0.68,0.0
2,8,2,0,20.85,0.0,37.54,25.74,2.02,0.0
2,9,2,0,21.44,0.0,37.56,51.47,3.27,0.0
2,10,2,0,21.71,0.0,39.36,40.22,3.23,0.0
2,11,2,0,21.82,0.0,40.19,41.14,3.6,0.0
2,12,2,0,22.01,0.0,40.04,42.03,4.55,2.69
2,13,2,0,22.01,0.0,39.83,48.78,5.41,7.98
2,14,2,0,22.16,0.0,39.53,53.33,4.81,10.72
2,15,2,0,22.22,0.0,40.5,47.56,3.39,11.26
2,16,2,0,22.22,0.0,41.18,45.81,3.05,9.73
2,17,2,0,22.19,0.0,41.51,52.61,4.0,5.81
2,18,2,0,21.88,0.0,42.57,38.61,2.41,0.52
2,19,2,0,21.48,0.0,44.3,17.62,1.91,0.0
2,20,2,0,21.23,0.0,46.0,17.9,1.47,0.0
2,21,2,0,21.13,0.0,47.67,15.6,1.7,0.0
2,22,2,0,21.05,0.0,48.43,16.58,0.88,0.0
2,23,2,0,21.36,0.0,47.92,17.58,0.55,0.0
2,24,2,0,21.46,0.0,47.88,15.54,0.59,0.0
2,1,3,0,21.34,0.0,48.35,13.11,0.0,0.0
2,2,3,0,21.25,0.0,48.49,14.0,0.0,0.0
2,3,3,0,21.18,0.0,48.65,13.05,0.0,0.0
2,4,3,0,21.11,0.0,48.81,11.51,0.0,0.0
2,5,3,0,21.06,0.0,48.93,12.76,0.0,0.0
2,6,3,0,21.0,0.0,49.09,12.34,0.0,0.0
2,7,3,0,20.43,0.0,51.01,15.76,0.84,0.0
2,8,3,0,20.9,0.0,49.02,29.96,2.27,0.0
2,9,3,0,21.49,0.0,46.49,56.48,3.82,2.81
2,10,3,0,21.82,0.0,44.62,46.97,4.5,17.16
2,11,3,0,22.01,0.0,42.43,43.79,4.67,28.65
2,12,3,0,22.18,0.0,40.24,40.78,5.08,34.88
2,13,3,0,22.12,0.0,39.1,49.16,6.23,39.58
2,14,3,0,22.31,0.0,39.07,48.84,6.06,43.78
2,15,3,0,22.38,0.0,40.15,44.33,3.4,43.31
2,16,3,0,22.38,0.0,40.13,48.87,3.41,41.55
2,17,3,0,22.36,0.0,40.32,53.61,4.31,37.52
2,18,3,0,22.0,0.0,39.53,46.13,2.57,30.4
2,19,3,0,21.53,0.0,38.33,22.84,2.28,23.79
2,20,3,0,21.3,0.0,37.43,18.19,1.56,18.25
2,21,3,0,21.19,0.0,38.33,18.58,1.58,13.6
2,22,3,0,21.12,0.0,42.78,18.49,0.7,7.7
2,23,3,0,21.58,0.0,42.99,16.7,0.47,0.0
2,24,3,0,21.73,0.0,42.93,14.53,0.45,0.0
2,1,4,0,21.61,0.0,43.45,12.23,0.0,0.0
2,2,4,0,21.49,0.0,43.72,13.23,0.0,0.0
2,3,4,0,21.34,0.0,44.01,12.31,0.0,0.0
2,4,4,0,21.19,0.0,44.25,11.69,0.0,0.0
2,5,4,0,21.05,0.0,44.4,12.14,0.0,0.0
2,6,4,0,20.9,0.0,44.54,12.95,0.0,0.0
2,7,4,0,20.52,0.0,44.68,14.9,0.63,0.0
2,8,4,0,20.82,0.0,42.85,25.04,1.82,0.0
2,9,4,0,21.44,0.0,41.38,50.58,3.48,0.0
2,10,4,0,21.7,0.0,41.41,46.57,4.03,0.0
2,11,4,0,21.78,0.0,41.48,41.9,3.64,0.0
2,12,4,0,21.91,0.0,41.04,42.72,4.02,0.0
2,13,4,0,21.88,0.0,40.58,49.03,5.35,0.0
2,14,4,0,22.14,0.0,39.98,45.08,5.0,0.0
2,15,4,0,22.41,0.0,39.98,39.96,3.19,0.0
2,16,4,0,22.67,0.0,40.14,43.34,2.72,0.0
2,17,4,0,22.69,0.0,40.69,46.84,3.93,0.0
2,18,4,0,22.17,0.0,41.49,38.32,2.34,0.0
2,19,4,0,21.62,0.0,42.09,19.09,1.85,0.0
2,20,4,0,21.31,0.0,42.29,16.74,1.53,0.0
2,21,4,0,21.18,0.0,42.01,15.65,1.58,0.0
2,22,4,0,21.08,0.0,41.6,14.32,0.76,0.0
2,23,4,0,21.3,0.0,40.96,15.14,0.5,0.0
2,24,4,0,21.32,0.0,40.97,16.99,0.44,0.0
2,1,5,0,21.16,0.0,41.21,12.74,0.0,0.0
2,2,5,0,21.03,0.0,41.2,13.65,0.0,0.0
2,3,5,0,20.9,0.0,41.26,12.0,0.0,0.0
2,4,5,0,20.76,0.0,41.27,11.79,0.0,0.0
2,5,5,0,20.65,0.0,41.2,11.94,0.0,0.0
2,6,5,0,20.56,0.0,41.09,10.78,0.0,0.0
2,7,5,0,20.38,0.0,40.52,12.85,0.72,0.0
2,8,5,0,20.73,0.0,38.42,25.25,1.92,0.0
2,9,5,0,21.36,0.0,36.7,55.85,3.15,0.0
2,10,5,0,21.61,0.0,36.81,45.71,3.74,0.0
2,11,5,0,21.69,0.0,37.66,42.24,3.5,0.0
2,12,5,0,21.81,0.0,37.53,52.03,4.58,0.0
2,13,5,0,21.73,0.0,39.1,49.59,5.09,0.0
2,14,5,0,21.85,0.0,41.04,53.44,5.1,0.0
2,15,5,0,21.85,0.0,43.24,46.03,2.86,0.0
2,16,5,0,21.86,0.0,44.15,50.11,3.17,0.0
2,17,5,0,21.88,0.0,44.49,51.93,4.57,0.0
2,18,5,0,21.6,0.0,43.62,42.85,2.63,0.0
2,19,5,0,21.31,0.0,42.1,18.66,2.1,0.0
2,20,5,0,21.09,0.0,40.4,17.79,1.44,0.0
2,21,5,0,21.01,0.0,39.41,17.9,1.47,0.0
2,22,5,0,20.96,0.0,38.94,18.06,0.72,0.0
2,23,5,0,21.05,0.0,38.64,19.16,0.44,0.0
2,24,5,0,21.07,0.0,38.84,17.39,0.51,0.0
2,1,6,0,20.89,0.0,39.36,13.43,0.0,0.0
2,2,6,0,20.74,0.0,39.57,14.67,0.0,0.0
2,3,6,0,20.66,0.0,39.66,15.46,0.0,0.0
2,4,6,0,20.59,0.0,39.79,15.46,0.0,0.0
2,5,6,0,20.47,0.0,39.99,15.46,0.0,0.0
