Hours since 00:00 Jan 1,Hourly Data: AC inverter power (W)
744.5,0.0
745.5,0.0
746.5,0.0
747.5,0.0
748.5,0.0
749.5,0.0
750.5,0.0
751.5,13.8199
752.5,33.4324
753.5,77.2044
754.5,114.17399999999999
755.5,37.2083
756.5,309.959
757.5,318.54400000000004
758.5,334.645
759.5,289.402
760.5,229.354
761.5,1.8555700000000002
762.5,0.0
763.5,0.0
764.5,0.0
765.5,0.0
766.5,0.0
767.5,0.0
768.5,0.0
769.5,0.0
770.5,0.0
771.5,0.0
772.5,0.0
773.5,0.0
774.5,0.0
775.5,93.4879
776.5,197.387
777.5,270.392
778.5,268.58799999999997
779.5,504.714
780.5,458.967
781.5,563.659
782.5,327.81300000000005
783.5,240.796
784.5,97.3054
785.5,0.0
786.5,0.0
787.5,0.0
788.5,0.0
789.5,0.0
790.5,0.0
791.5,0.0
792.5,0.0
793.5,0.0
794.5,0.0
795.5,0.0
796.5,0.0
797.5,0.0
798.5,0.0
799.5,114.478
800.5,299.936
801.5,485.14599999999996
802.5,606.049
803.5,681.1439999999999
804.5,687.451
805.5,658.68
806.5,545.8330000000001
807.5,402.37199999999996
808.5,219.75099999999998
809.5,0.0
810.5,0.0
811.5,0.0
812.5,0.0
813.5,0.0
814.5,0.0
815.5,0.0
816.5,0.0
817.5,0.0
818.5,0.0
819.5,0.0
820.5,0.0
821.5,0.0
822.5,0.0
823.5,61.5776
824.5,207.28099999999998
825.5,290.526
826.5,80.3514
827.5,348.796
828.5,612.215
829.5,292.731
830.5,345.745
831.5,462.68199999999996
832.5,243.05700000000002
833.5,1.3609799999999999
834.5,0.0
835.5,0.0
836.5,0.0
837.5,0.0
838.5,0.0
839.5,0.0
840.5,0.0
841.5,0.0
842.5,0.0
843.5,0.0
844.5,0.0
845.5,0.0
846.5,0.0
847.5,131.861
848.5,344.711
849.5,545.891
850.5,672.545
851.5,724.3889999999999
852.5,727.95
853.5,678.572
854.5,587.035
855.5,430.106
856.5,218.542
857.5,0.0
858.5,0.0
859.5,0.0
860.5,0.0
861.5,0.0
862.5,0.0
863.5,0.0
864.5,0.0
865.5,0.0
866.5,0.0
867.5,0.0
868.5,0.0
869.5,0.0
870.5,0.0
871.5,37.1445
872.5,125.973
873.5,175.81400000000002
874.5,277.312
875.5,319.686
876.5,287.80400000000003
877.5,241.662
878.5,193.793
879.5,119.84700000000001
880.5,47.3463
881.5,0.0
882.5,0.0
883.5,0.0
884.5,0.0
885.5,0.0
886.5,0.0
887.5,0.0
888.5,0.0
889.5,0.0
890.5,0.0
891.5,0.0
892.5,0.0
893.5,0.0
894.5,0.0
895.5,51.9845
896.5,202.09
897.5,319.403
898.5,324.085
899.5,262.786
900.5,229.9
901.5,239.778
902.5,172.523
903.5,103.926
904.5,41.2804
905.5,0.0
906.5,0.0
907.5,0.0
908.5,0.0
909.5,0.0
910.5,0.0
911.5,0.0
912.5,0.0
913.5,0.0
914.5,0.0
915.5,0.0
916.5,0.0
917.5,0.0
918.5,0.0
919.5,30.5332
920.5,70.8447
921.5,208.40400000000002
922.5,204.50099999999998
923.5,192.888
924.5,302.124
925.5,416.267
926.5,450.85400000000004
927.5,471.88699999999994
928.5,249.167
929.5,8.58739
930.5,0.0
931.5,0.0
932.5,0.0
933.5,0.0
934.5,0.0
935.5,0.0
936.5,0.0
937.5,0.0
938.5,0.0
939.5,0.0
940.5,0.0
941.5,0.0
942.5,0.0
943.5,36.7492
944.5,127.214
945.5,216.84799999999998
946.5,256.599
947.5,259.775
948.5,255.968
949.5,201.84900000000002
950.5,175.226
951.5,113.08
952.5,46.8102
953.5,0.0
954.5,0.0
955.5,0.0
956.5,0.0
957.5,0.0
958.5,0.0
959.5,0.0
960.5,0.0
961.5,0.0
962.5,0.0
963.5,0.0
964.5,0.0
965.5,0.0
966.5,0.0
967.5,26.4936
968.5,371.73900000000003
969.5,548.847
970.5,708.257
971.5,493.61300000000006
972.5,360.714
973.5,236.68599999999998
974.5,400.207
975.5,33.0062
976.5,65.0473
977.5,0.0
978.5,0.0
979.5,0.0
980.5,0.0
981.5,0.0
982.5,0.0
983.5,0.0
984.5,0.0
985.5,0.0
986.5,0.0
987.5,0.0
988.5,0.0
989.5,0.0
990.5,0.0
991.5,36.5648
992.5,123.758
993.5,210.606
994.5,313.249
995.5,326.837
996.5,272.828
997.5,239.12099999999998
998.5,180.019
999.5,107.23899999999999
1000.5,49.3083
1001.5,0.0
1002.5,0.0
1003.5,0.0
