Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
17.1,48.38,0.0,0.0,13.65,16.41,11.5,83.56,36.4,85.33,0.0,219.42,0.0,0.0,14.83,0.0
16.36,39.0,0.0,0.0,13.26,16.81,10.47,85.26,36.75,89.29,12.9,169.04,0.0,17.57,17.8,0.0
15.54,47.75,0.0,0.0,14.02,17.23,10.57,80.81,38.09,86.1,76.55,251.18,0.0,75.98,86.28,0.0
14.89,63.0,0.0,0.0,15.06,17.2,11.6,67.04,39.75,78.34,158.01,193.52,0.0,37.53,129.25,0.0
14.32,79.0,0.0,0.0,15.69,17.55,9.46,52.18,39.33,90.78,202.28,110.47,0.0,52.31,207.6,0.0
13.85,85.0,0.0,0.0,16.04,16.55,9.63,40.38,49.31,88.83,181.62,18.81,0.0,7.87,16.19,0.0
13.45,85.0,0.0,0.0,16.48,15.18,10.25,36.2,67.7,84.93,220.65,0.0,0.0,14.92,0.0,0.0
13.3,85.0,12.94,17.62,16.72,14.98,9.32,37.0,78.31,84.72,167.93,0.0,6.1,17.68,0.0,0.0
13.86,81.88,75.56,75.0,17.03,14.33,9.18,38.67,80.91,82.09,247.59,0.0,26.95,85.04,0.0,0.0
14.76,68.75,154.19,36.62,17.16,13.89,9.77,39.87,81.28,77.42,192.91,0.0,52.64,128.84,0.0,3.3
15.73,52.0,203.0,52.5,17.33,13.11,10.68,39.97,83.39,71.57,108.77,0.0,177.05,204.4,0.0,37.49
16.23,39.75,184.56,8.0,16.58,11.86,13.31,49.22,86.56,61.29,18.84,0.0,277.01,16.22,0.0,140.6
16.55,36.0,221.88,15.0,15.51,11.52,13.88,66.16,85.16,60.26,0.0,0.0,283.96,0.0,0.0,155.27
16.64,37.25,166.81,17.56,14.86,10.82,15.25,79.03,87.15,52.9,0.0,0.0,267.62,0.0,0.0,101.84
16.85,39.25,244.0,83.81,14.25,10.67,17.24,81.4,85.55,45.71,0.0,0.0,204.35,0.0,0.0,31.06
17.12,40.0,192.31,128.44,13.73,11.05,15.65,82.2,81.67,50.69,0.0,0.0,52.16,0.0,0.0,1.77
17.14,40.62,107.06,201.19,12.97,9.94,14.46,84.19,87.89,54.79,0.0,0.0,52.68,0.0,0.0,25.13
16.6,49.12,18.88,16.25,11.99,9.95,15.57,85.78,86.91,50.7,0.0,0.0,46.22,0.0,0.0,113.47
15.8,64.62,0.0,0.0,11.54,10.19,14.91,85.08,85.27,54.73,0.0,0.0,0.0,0.0,0.0,0.0
14.75,79.75,0.0,0.0,11.0,9.76,14.18,86.07,82.23,58.91,0.0,6.3,0.0,0.0,0.0,0.0
14.18,81.88,0.0,0.0,10.71,9.87,12.48,85.28,78.42,76.73,0.0,28.41,0.0,0.0,0.0,0.0
13.6,83.12,0.0,0.0,10.77,10.28,13.36,83.34,74.77,74.75,0.0,54.72,0.0,0.0,3.43,0.0
12.86,85.0,0.0,0.0,10.18,11.2,11.99,86.45,69.09,79.81,0.0,184.15,0.0,0.0,39.0,0.0
12.1,85.0,0.0,0.0,10.1,13.28,10.11,85.96,61.39,88.8,0.0,276.53,0.0,0.0,140.36,0.0
11.55,85.0,0.0,0.0,10.16,14.38,10.98,85.45,58.25,78.28,0.0,294.85,0.0,0.0,161.23,0.0
11.15,85.0,0.0,0.0,9.97,15.62,8.41,80.99,51.57,88.5,6.4,275.06,0.0,0.0,104.67,0.0
10.75,85.0,0.0,0.0,10.22,16.82,9.37,76.58,47.16,79.6,29.15,198.58,0.0,0.0,30.19,0.0
10.54,85.0,0.0,0.0,10.54,15.8,8.66,73.44,50.15,82.61,55.77,52.74,0.0,3.49,1.79,0.0
10.38,85.0,0.0,0.0,11.46,14.86,9.17,67.86,53.34,77.34,187.7,54.24,0.0,39.75,25.87,0.0
10.24,85.0,0.0,0.0,13.27,15.12,6.32,61.45,52.47,93.1,276.3,44.8,0.0,140.24,109.98,0.0
10.14,85.62,0.0,0.0,14.63,14.5,8.18,57.25,56.42,79.51,300.3,0.0,0.0,164.21,0.0,0.0
10.16,79.75,6.5,0.0,15.8,13.84,6.39,50.91,60.4,90.08,278.78,0.0,12.11,106.08,0.0,37.55
10.51,74.75,29.88,0.0,16.61,12.71,8.31,47.89,75.49,83.53,195.7,0.0,77.89,29.75,0.0,171.48
10.76,72.12,56.81,3.56,15.88,12.82,8.48,49.89,77.88,86.65,53.02,0.0,144.82,1.8,0.0,66.42
